id,item_text,item_title,item_model,item_picture,item_page
1,골프,골프 웨어,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015113700000035796.jpg,https://www.musinsa.com/app/styles/views/32350
2,골프,필드 룩,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015105200000091301.jpg,https://www.musinsa.com/app/styles/views/32349
3,골프,디테일에 주목!,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015102000000082597.jpg,https://www.musinsa.com/app/styles/views/32348
4,골프,라운딩 스타일,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015095100000015935.jpg,https://www.musinsa.com/app/styles/views/32347
5,골프,돋보이는 아웃핏,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015091400000036216.jpg,https://www.musinsa.com/app/styles/views/32346
6,골프,편하게 완성,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015083900000055674.jpg,https://www.musinsa.com/app/styles/views/32345
7,댄디,화사하게!,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015080600000012849.jpg,https://www.musinsa.com/app/styles/views/32344
8,댄디,미니멀 무드,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015073600000032370.jpg,https://www.musinsa.com/app/styles/views/32343
9,스트릿,포인트 더하기,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015065400000035516.jpg,https://www.musinsa.com/app/styles/views/32342
10,고프코어,아웃도어 패션,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015062300000042391.jpg,https://www.musinsa.com/app/styles/views/32341
11,스트릿,모노톤 조합,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015055700000091245.jpg,https://www.musinsa.com/app/styles/views/32340
12,댄디,깔끔한 매력,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015051300000077948.jpg,https://www.musinsa.com/app/styles/views/32339
13,캐주얼,눈에 띄는 컬러,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015044500000085060.jpg,https://www.musinsa.com/app/styles/views/32338
14,고프코어,시선을 끄는,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015040800000026613.jpg,https://www.musinsa.com/app/styles/views/32337
15,캐주얼,조화로워!,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015033900000025995.jpg,https://www.musinsa.com/app/styles/views/32336
16,캐주얼,셔츠 코디,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015031400000045850.jpg,https://www.musinsa.com/app/styles/views/32335
17,스포츠,활동성 UP,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015024200000043922.jpg,https://www.musinsa.com/app/styles/views/32334
18,캐주얼,봄 캐주얼 룩,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015020900000021141.jpg,https://www.musinsa.com/app/styles/views/32333
19,캐주얼,데일리 매치,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015013600000079682.jpg,https://www.musinsa.com/app/styles/views/32332
20,댄디,청청 패션,모델 : 조효인,https://image.msscdn.net/images/style/list/l_3_2023033015010000000081434.jpg,https://www.musinsa.com/app/styles/views/32331
21,스트릿,스타일리시,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916540200000028324.jpg,https://www.musinsa.com/app/styles/views/32330
22,스트릿,믹스 매치,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916515200000029221.jpg,https://www.musinsa.com/app/styles/views/32329
23,스트릿,셋업 스타일링,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916492900000054108.jpg,https://www.musinsa.com/app/styles/views/32328
24,고프코어,스포츠 캐주얼,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916474400000020601.jpg,https://www.musinsa.com/app/styles/views/32327
25,스트릿,스트릿 바이브,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916460200000022092.jpg,https://www.musinsa.com/app/styles/views/32326
26,고프코어,센스 만점,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916441800000083712.jpg,https://www.musinsa.com/app/styles/views/32325
27,고프코어,환절기 고프코어,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916420400000046784.jpg,https://www.musinsa.com/app/styles/views/32324
28,스트릿,독보적인 존재감,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916402600000027382.jpg,https://www.musinsa.com/app/styles/views/32323
29,고프코어,고프코어 룩,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916381300000005019.jpg,https://www.musinsa.com/app/styles/views/32322
30,고프코어,일상 아웃도어,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916361700000026388.jpg,https://www.musinsa.com/app/styles/views/32321
31,캐주얼,봄나들이 룩,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916343300000061784.jpg,https://www.musinsa.com/app/styles/views/32320
32,고프코어,활동성 UP!,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916315000000013863.jpg,https://www.musinsa.com/app/styles/views/32319
33,레트로,에스닉 무드,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916300000000000648.jpg,https://www.musinsa.com/app/styles/views/32318
34,시크,화이트 조합,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916283100000011398.jpg,https://www.musinsa.com/app/styles/views/32317
35,스트릿,패턴 포인트,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916265600000063956.jpg,https://www.musinsa.com/app/styles/views/32316
36,시크,간결한 멋,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916251100000082412.jpg,https://www.musinsa.com/app/styles/views/32315
37,시크,CHIC,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916232900000056979.jpg,https://www.musinsa.com/app/styles/views/32314
38,시크,모노톤 매치,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916212000000054964.jpg,https://www.musinsa.com/app/styles/views/32313
39,시크,올 블랙 코디,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916191100000043131.jpg,https://www.musinsa.com/app/styles/views/32312
40,시크,손쉽게 멋 내기,모델 : 이채령,https://image.msscdn.net/images/style/list/l_3_2023032916170200000082463.jpg,https://www.musinsa.com/app/styles/views/32311
41,시크,포인트 요소,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910472700000096240.jpg,https://www.musinsa.com/app/styles/views/32310
42,캐주얼,톤온톤 스타일링,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910422900000046265.jpg,https://www.musinsa.com/app/styles/views/32309
43,시크,모노톤 매치,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910400500000037999.jpg,https://www.musinsa.com/app/styles/views/32308
44,시크,시크하게,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910372500000003084.jpg,https://www.musinsa.com/app/styles/views/32307
45,캐주얼,화이트 홀릭,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910302500000030279.jpg,https://www.musinsa.com/app/styles/views/32306
46,로맨틱,고급진 하객 패션,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910270000000021674.jpg,https://www.musinsa.com/app/styles/views/32305
47,포멀,오늘의 출근 룩,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910241500000058796.jpg,https://www.musinsa.com/app/styles/views/32304
48,시크,시선을 끄는,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910220100000069112.jpg,https://www.musinsa.com/app/styles/views/32303
49,캐주얼,꾸안꾸 조합,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910163300000054502.jpg,https://www.musinsa.com/app/styles/views/32302
50,시크,스타일리시해,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910131100000021838.jpg,https://www.musinsa.com/app/styles/views/32301
51,로맨틱,봄 하객 룩,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910095100000002997.jpg,https://www.musinsa.com/app/styles/views/32300
52,시크,세련된 느낌,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910070900000018414.jpg,https://www.musinsa.com/app/styles/views/32299
53,시크,워너비 룩,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910043900000095892.jpg,https://www.musinsa.com/app/styles/views/32298
54,포멀,무심한 멋,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032910020100000099168.jpg,https://www.musinsa.com/app/styles/views/32297
55,포멀,깔끔한 스타일,모델 : 한예지,https://image.msscdn.net/images/style/list/l_3_2023032909510000000054728.jpg,https://www.musinsa.com/app/styles/views/32296
